Country,Continent,Region,Cases_million,Deaths_million,Trans_Class,Community_trans,Test_perMillion,pop,LifeExp,MedianAge,Rural_pop,Urban_agglome,GDP,GINI,Business,Cardiovasc,Diabetes,HumDev,TB,BCG,LRI,HIV,Nurses,Physicians,GHS,BMI,Malaria,CDN,Cancer,BP,chol,AirTrafic,UV,Polution,Temp,Rainfall,Internet,SocialMed
Ghana,Africa,Western Africa,2206.39,433,Community transmission,1,25992,31072945,64.07,21.1,43.293,18.4,4227.63,43.5,118,298.245,2.5,0.592,144,96,158.21,1.7,4.2001,0.1359,35.5,23.9,4808163,75282.89,0.47,23.7,18.1,0.016,5166,35,28,98,3,2
Guinea,Africa,Western Africa,1113.93,84,Community transmission,1,9519,13132792,61.6,19,63.5,14.1,1998.926,33.7,156,336.717,2.4,0.459,176,73,205.99,1.4,0.1238,0.0832,32.7,22.9,1214996,78971.61,0.48,30.3,18.7,0.23515,5391,26,27,140,3,2
Guinea-Bissau,Africa,Western Africa,1368.39,46,Community transmission,1,23842,1967998,58.32,19.4,56.223,17.12,1548.675,50.7,174,382.474,2.4,0.455,361,86,163.13,3.4,0.6851,0.1274,20,23.4,125511,78787.59,0.46,30.3,17,0.23515,5319,30,28,128,3,2
Liberia,Africa,Western Africa,384.56,84,Community transmission,1,13075,5057677,64.1,19.2,48.385,28.9,752.788,35.3,175,272.509,2.4,0.435,308,84,156.13,1.5,0.5321,0.0376,35.1,24.1,0,87625.65,0.38,28.3,16.1,0.23515,4926,18,26,224,3,1
Mali,Africa,Western Africa,401.46,333,Community transmission,1,7082,20250834,59.31,16.4,56.864,12.8,2014.306,33,148,268.024,2.4,0.427,52,83,122.25,1.2,0.3585,0.1286,29,23,2345475,77624.52,0.39,32.6,19.4,0.23515,5617,39,29,28,3,2
Nigeria,Africa,Western Africa,659.89,1632,Community transmission,1,6683,206139587,54.69,18.1,48.843,16.4,5338.454,43,131,181.013,3.1,0.532,219,67,141.76,1.3,1.1792,0.3806,37.8,23.2,13060853,77523.61,0.57,23.9,16.8,0.04,5251,72,28,103,2,3
Togo,Africa,Western Africa,638.99,79,Community transmission,1,25850,8278737,61.04,19.4,57.752,21.9,1429.813,43.1,97,280.033,2.4,0.503,37,98,156.45,2.2,0.4102,0.0774,32.5,23.6,1713823,77424.63,0.39,28.9,17.1,0.077,5307,36,28,93,2,3
Niger,Africa,Western Africa,189,164,Community transmission,1,3107,24206636,62.42,15.1,83.483,5.5,926,34.3,132,238.339,2.4,0.354,84,70,186.15,0.2,0.2695,0.0433,32.2,21.8,3046450,77161.15,0.35,33.4,15.2,0.23515,5811,94,28,17,2,2
Senegal,Africa,Western Africa,1656.3,659,Community transmission,1,20654,16743930,67.94,18.7,52.347,18.3,2470.58,40.3,123,241.219,2.4,0.505,117,99,157.44,0.4,0.3127,0.0691,37.9,23,530652,75404.74,0.44,30.2,21.4,0.001,5356,41,29,61,3,3
Gambia,Africa,Western Africa,1731.31,132,Community transmission,1,15487,2416664,62.05,17.5,38.069,17.12,1561.767,42.61914894,155,331.43,1.9,0.46,158,88,162.39,1.9,1.5447,0.1021,34.2,24,91742,68727.1,0.33,29.1,20.3,0.025,5358,34,28,87,2.679245283,2.188679245
Mauritania,Africa,Western Africa,3583.49,422,Community transmission,1,32921,4649660,64.92,20.3,45.493,26.1,3597.633,32.6,152,232.347,7.1,0.52,89,90,158.63,0.2,0.9252,0.1865,27.5,24.9,30609,67633.18,0.48,31.7,22.2,0.114,5547,47,29,8,2,3
Sierra Leone,Africa,Western Africa,467.34,79,Community transmission,1,13581,7976985,54.7,19.1,57.516,14.6,1390.3,34,163,325.721,2.4,0.419,295,86,192.65,1.6,0.2239,0.0251,38.2,22.7,1733831,80020.9,0.41,30.3,16.1,0.007,5087,22,25.04651163,74.06976744,3,1
